iter	Passed	Remaining
1352	6059	16333
1353	6063	16327
1354	6067	16321
1355	6071	16315
1356	6075	16311
1357	6079	16305
1358	6083	16299
1359	6088	16296
1360	6092	16290
1361	6097	16286
1362	6101	16280
1363	6105	16275
1364	6110	16271
1365	6113	16264
1366	6118	16260
1367	6122	16254
1368	6126	16250
1369	6130	16244
1370	6135	16240
1371	6139	16234
1372	6143	16228
1373	6148	16225
1374	6152	16219
1375	6156	16215
1376	6160	16209
1377	6165	16205
1378	6169	16199
1379	6173	16194
1380	6178	16190
1381	6181	16184
1382	6186	16179
1383	6190	16174
1384	6194	16169
1385	6199	16164
1386	6204	16161
1387	6208	16156
1388	6212	16150
1389	6216	16145
1390	6221	16141
1391	6226	16138
1392	6231	16136
1393	6236	16132
1394	6241	16129
1395	6245	16123
1396	6250	16120
1397	6254	16114
1398	6258	16108
1399	6262	16104
1400	6266	16098
1401	6271	16094
1402	6275	16088
1403	6279	16083
1404	6283	16077
1405	6287	16073
1406	6291	16066
1407	6296	16062
1408	6300	16057
1409	6304	16052
1410	6309	16047
1411	6312	16041
1412	6317	16037
1413	6321	16032
1414	6327	16030
1415	6331	16025
1416	6335	16020
1417	6339	16014
1418	6343	16008
1419	6347	16002
1420	6351	15997
1421	6355	15990
1422	6358	15984
1423	6362	15977
1424	6366	15972
1425	6370	15966
1426	6374	15960
1427	6378	15954
1428	6382	15948
1429	6386	15942
1430	6390	15937
1431	6394	15933
1432	6398	15927
1433	6403	15923
1434	6407	15917
1435	6411	15913
1436	6415	15907
1437	6419	15902
1438	6426	15902
1439	6431	15899
1440	6436	15896
1441	6441	15892
1442	6445	15887
1443	6450	15884
1444	6454	15879
1445	6459	15875
1446	6463	15870
1447	6467	15865
1448	6471	15860
1449	6476	15855
1450	6481	15852
1451	6485	15846
1452	6489	15842
1453	6493	15836
1454	6498	15834
1455	6503	15830
1456	6508	15825
1457	6512	15820
1458	6517	15817
1459	6521	15812
1460	6525	15807
1461	6529	15802
1462	6533	15796
1463	6537	15790
1464	6541	15784
1465	6545	15779
1466	6549	15774
1467	6554	15770
1468	6559	15766
1469	6564	15763
1470	6569	15759
1471	6573	15754
1472	6577	15750
1473	6584	15749
1474	6589	15747
1475	6594	15744
1476	6601	15746
1477	6609	15751
1478	6617	15754
1479	6622	15751
1480	6628	15749
1481	6633	15747
1482	6639	15746
1483	6645	15744
